English Sentence,English NER Tagged,Chinese Sentence,Chinese NER Tagged,Merged English NER Tagged,Merged Chinese NER Tagged
"Thank you so much, Chris. And it's truly a great honor to have the opportunity to come to this stage twice; I'm extremely grateful.","[{'entity': 'I-PER', 'score': 0.99994814, 'index': 6, 'word': '▁Chris', 'start': 19, 'end': 24}]",非常??，克里斯。的确非常?幸 能有第二次站在??台上的机?，我真是非常感激。,"[{'entity': 'I-PER', 'score': 0.999967, 'index': 5, 'word': '克里斯', 'start': 5, 'end': 8}]","[{'word': 'Chris', 'tag': 'I-PER', 'score': 0.99994814}]","[{'word': '克里斯', 'tag': 'I-PER', 'score': 0.999967}]"
"I have been blown away by this conference, and I want to thank all of you for the many nice comments about what I had to say the other night.",[],????真是?我感到惊?不已，我?要??你?留下的 ?于我上次演?的精彩??,[],[],[]
"And I say that sincerely, partly because  I need that.  Put yourselves in my position.",[],我是非常真?的，部分原因是因?----我的确非常需要！ 你?身?地?我想想！,[],[],[]
I flew on Air Force Two for eight years.,"[{'entity': 'I-ORG', 'score': 0.9998919, 'index': 5, 'word': '▁Air', 'start': 10, 'end': 13}, {'entity': 'I-ORG', 'score': 0.99992216, 'index': 6, 'word': '▁Force', 'start': 14, 'end': 19}, {'entity': 'I-ORG', 'score': 0.99981815, 'index': 7, 'word': '▁Two', 'start': 20, 'end': 23}]",我坐了8年的空?二?。,"[{'entity': 'I-MISC', 'score': 0.9993864, 'index': 6, 'word': '空?', 'start': 6, 'end': 8}, {'entity': 'I-MISC', 'score': 0.99975187, 'index': 7, 'word': '二', 'start': 8, 'end': 9}, {'entity': 'I-MISC', 'score': 0.99948347, 'index': 8, 'word': '?', 'start': 9, 'end': 10}]","[{'word': 'Air Force Two', 'tag': 'I-ORG', 'score': 0.99981815}]","[{'word': '空?二?', 'tag': 'I-MISC', 'score': 0.9993864}]"
Now I have to take off my shoes or boots to get on an airplane!,[],不??在上?机前我?要?掉我的鞋子,[],[],[]
I'll tell you one quick story to illustrate what that's been like for me.,[],我?你??小故事?形容我?在是什么?的,[],[],[]
It's a true story -- every bit of this is true.,[],?是?真?的故事--每一?都是如此。,[],[],[]
Soon after Tipper and I left the --  White House --  we were driving from our home in Nashville to a little farm we have 50 miles east of Nashville.,"[{'entity': 'I-PER', 'score': 0.9999913, 'index': 4, 'word': '▁Tipp', 'start': 11, 'end': 15}, {'entity': 'I-PER', 'score': 0.9999918, 'index': 5, 'word': 'er', 'start': 15, 'end': 17}, {'entity': 'I-LOC', 'score': 0.99999714, 'index': 11, 'word': '▁White', 'start': 37, 'end': 42}, {'entity': 'I-LOC', 'score': 0.9999975, 'index': 12, 'word': '▁House', 'start': 43, 'end': 48}, {'entity': 'I-LOC', 'score': 0.9999958, 'index': 21, 'word': '▁Na', 'start': 86, 'end': 88}, {'entity': 'I-LOC', 'score': 0.99999535, 'index': 22, 'word': 'sh', 'start': 88, 'end': 90}, {'entity': 'I-LOC', 'score': 0.99999535, 'index': 23, 'word': 'ville', 'start': 90, 'end': 95}, {'entity': 'I-LOC', 'score': 0.9999957, 'index': 35, 'word': '▁Na', 'start': 138, 'end': 140}, {'entity': 'I-LOC', 'score': 0.99999535, 'index': 36, 'word': 'sh', 'start': 140, 'end': 142}, {'entity': 'I-LOC', 'score': 0.9999956, 'index': 37, 'word': 'ville', 'start': 142, 'end': 147}]",就在我和Tipper离?白?稍后不久 -- -- 我?????什??的家?到 我?在??50里外的一?小??--,"[{'entity': 'I-PER', 'score': 0.9999927, 'index': 4, 'word': 'Ti', 'start': 4, 'end': 6}, {'entity': 'I-PER', 'score': 0.9999888, 'index': 5, 'word': 'pper', 'start': 6, 'end': 10}, {'entity': 'I-LOC', 'score': 0.99999416, 'index': 7, 'word': '白', 'start': 12, 'end': 13}, {'entity': 'I-LOC', 'score': 0.99999225, 'index': 8, 'word': '?', 'start': 13, 'end': 14}, {'entity': 'I-PER', 'score': 0.9912197, 'index': 18, 'word': '?', 'start': 30, 'end': 31}, {'entity': 'I-PER', 'score': 0.97413796, 'index': 19, 'word': '什', 'start': 31, 'end': 32}, {'entity': 'I-PER', 'score': 0.8019458, 'index': 20, 'word': '?', 'start': 32, 'end': 33}, {'entity': 'I-PER', 'score': 0.88460237, 'index': 21, 'word': '?', 'start': 33, 'end': 34}]","[{'word': 'Tipper', 'tag': 'I-PER', 'score': 0.9999913}, {'word': 'White House', 'tag': 'I-LOC', 'score': 0.99999714}, {'word': 'Nashville', 'tag': 'I-LOC', 'score': 0.99999535}, {'word': 'Nashville', 'tag': 'I-LOC', 'score': 0.99999535}]","[{'word': 'Tipper', 'tag': 'I-PER', 'score': 0.9999888}, {'word': '白?', 'tag': 'I-LOC', 'score': 0.99999225}, {'word': '?什??', 'tag': 'I-PER', 'score': 0.8019458}]"
Driving ourselves.,[],自己??,[],[],[]
"I know it sounds like a little thing to you, but -- I looked in the rear-view mirror and all of a sudden it just hit me.",[],我知道??你???是小事一?，但是 ---- 正?我看?后??的?候，突然感到非常惊奇。,[],[],[]
There was no motorcade back there.,[],后面竟然?有??。,[],[],[]
You've heard of phantom limb pain?,[],你?听?幻肢痛么？,[],[],[]
"This was a rented Ford Taurus.  It was dinnertime, and we started looking for a place to eat.","[{'entity': 'I-MISC', 'score': 0.9994646, 'index': 6, 'word': '▁Ford', 'start': 18, 'end': 22}, {'entity': 'I-MISC', 'score': 0.99879265, 'index': 7, 'word': '▁Ta', 'start': 23, 'end': 25}, {'entity': 'I-MISC', 'score': 0.9991437, 'index': 8, 'word': 'urus', 'start': 25, 'end': 29}]",??福特Taurus是租?的，???好是晚?的?候 我?就?始找吃?的地方,"[{'entity': 'I-MISC', 'score': 0.9999696, 'index': 3, 'word': '福', 'start': 2, 'end': 3}, {'entity': 'I-MISC', 'score': 0.9999695, 'index': 4, 'word': '特', 'start': 3, 'end': 4}, {'entity': 'I-MISC', 'score': 0.9999274, 'index': 5, 'word': 'Ta', 'start': 4, 'end': 6}, {'entity': 'I-MISC', 'score': 0.99992883, 'index': 6, 'word': 'urus', 'start': 6, 'end': 10}]","[{'word': 'Ford Taurus', 'tag': 'I-MISC', 'score': 0.99879265}]","[{'word': '福特Taurus', 'tag': 'I-MISC', 'score': 0.9999274}]"
"We were on I-40. We got to Exit 238, Lebanon, Tennessee.","[{'entity': 'I-LOC', 'score': 0.8992663, 'index': 4, 'word': '▁I', 'start': 11, 'end': 12}, {'entity': 'I-LOC', 'score': 0.9737456, 'index': 5, 'word': '-40', 'start': 12, 'end': 15}, {'entity': 'I-LOC', 'score': 0.8054352, 'index': 10, 'word': '▁Ex', 'start': 27, 'end': 29}, {'entity': 'I-LOC', 'score': 0.6579987, 'index': 11, 'word': 'it', 'start': 29, 'end': 31}, {'entity': 'I-LOC', 'score': 0.73810035, 'index': 12, 'word': '▁23', 'start': 32, 'end': 34}, {'entity': 'I-LOC', 'score': 0.5369467, 'index': 13, 'word': '8', 'start': 34, 'end': 35}, {'entity': 'I-LOC', 'score': 0.999977, 'index': 15, 'word': '▁Lebanon', 'start': 37, 'end': 44}, {'entity': 'I-LOC', 'score': 0.9999703, 'index': 17, 'word': '▁Tennessee', 'start': 46, 'end': 55}]",我?在40?洲?公路上，要在238出口下到田?西州的黎巴嫩市,"[{'entity': 'I-LOC', 'score': 0.99949825, 'index': 16, 'word': '田', 'start': 21, 'end': 22}, {'entity': 'I-LOC', 'score': 0.99952984, 'index': 17, 'word': '?', 'start': 22, 'end': 23}, {'entity': 'I-LOC', 'score': 0.99969804, 'index': 18, 'word': '西', 'start': 23, 'end': 24}, {'entity': 'I-LOC', 'score': 0.99652606, 'index': 19, 'word': '州', 'start': 24, 'end': 25}, {'entity': 'I-LOC', 'score': 0.9999815, 'index': 21, 'word': '黎', 'start': 26, 'end': 27}, {'entity': 'I-LOC', 'score': 0.9999851, 'index': 22, 'word': '巴', 'start': 27, 'end': 28}, {'entity': 'I-LOC', 'score': 0.99997497, 'index': 23, 'word': '嫩', 'start': 28, 'end': 29}]","[{'word': 'I-40', 'tag': 'I-LOC', 'score': 0.8992663}, {'word': 'Exit 238', 'tag': 'I-LOC', 'score': 0.5369467}, {'word': 'Lebanon', 'tag': 'I-LOC', 'score': 0.999977}, {'word': 'Tennessee', 'tag': 'I-LOC', 'score': 0.9999703}]","[{'word': '田?西州', 'tag': 'I-LOC', 'score': 0.99652606}, {'word': '黎巴嫩', 'tag': 'I-LOC', 'score': 0.99997497}]"
"We got off the exit, we found a Shoney's restaurant.","[{'entity': 'I-ORG', 'score': 0.99661875, 'index': 10, 'word': '▁Sho', 'start': 32, 'end': 35}, {'entity': 'I-ORG', 'score': 0.9957171, 'index': 11, 'word': 'ney', 'start': 35, 'end': 38}, {'entity': 'I-ORG', 'score': 0.99630046, 'index': 12, 'word': ""'"", 'start': 38, 'end': 39}, {'entity': 'I-ORG', 'score': 0.9916933, 'index': 13, 'word': 's', 'start': 39, 'end': 40}]",我??出口下?，?始?找一家--我?找到了Shoney餐?。,"[{'entity': 'I-LOC', 'score': 0.891698, 'index': 13, 'word': 'Sho', 'start': 21, 'end': 24}, {'entity': 'I-LOC', 'score': 0.94232273, 'index': 14, 'word': 'ney', 'start': 24, 'end': 27}]","[{'word': ""Shoney's"", 'tag': 'I-ORG', 'score': 0.9916933}]","[{'word': 'Shoney', 'tag': 'I-LOC', 'score': 0.891698}]"
"Low-cost family restaurant chain, for those of you who don't know it.",[],你?有些人也?不知道，?是家低成本的家庭??餐?,[],[],[]
"We went in and sat down at the booth, and the waitress came over, made a big commotion over Tipper.  She took our order, and then went to the couple in the booth next to us, and she lowered her voice so much, I had to really strain to hear what she was saying.","[{'entity': 'I-PER', 'score': 0.9999844, 'index': 26, 'word': '▁Tipp', 'start': 92, 'end': 96}, {'entity': 'I-PER', 'score': 0.9999889, 'index': 27, 'word': 'er', 'start': 96, 'end': 98}]",我?走?去后坐在小亭子里，女服??也走了??。 我跟Tipper引起了一???。 她??后走到我?旁?亭子里的一?情??， 然后她的?音?得非常小以至于我要?起耳朵才能听到她在?什么,"[{'entity': 'I-PER', 'score': 0.9997235, 'index': 20, 'word': 'Ti', 'start': 26, 'end': 28}, {'entity': 'I-PER', 'score': 0.9988411, 'index': 21, 'word': 'pper', 'start': 28, 'end': 32}]","[{'word': 'Tipper', 'tag': 'I-PER', 'score': 0.9999844}]","[{'word': 'Tipper', 'tag': 'I-PER', 'score': 0.9988411}]"
"And she said ""Yes, that's former Vice President Al Gore and his wife, Tipper.""","[{'entity': 'I-PER', 'score': 0.99998736, 'index': 13, 'word': '▁Al', 'start': 48, 'end': 50}, {'entity': 'I-PER', 'score': 0.9999876, 'index': 14, 'word': '▁Gore', 'start': 51, 'end': 55}, {'entity': 'I-PER', 'score': 0.9999716, 'index': 19, 'word': '▁Tipp', 'start': 70, 'end': 74}, {'entity': 'I-PER', 'score': 0.9999827, 'index': 20, 'word': 'er', 'start': 74, 'end': 76}]",接?她?”是的，他?就是前副??艾?·戈?和他的妻子Tipper。“,"[{'entity': 'I-PER', 'score': 0.999995, 'index': 13, 'word': '艾', 'start': 16, 'end': 17}, {'entity': 'I-PER', 'score': 0.9999871, 'index': 14, 'word': '?', 'start': 17, 'end': 18}, {'entity': 'I-PER', 'score': 0.9998752, 'index': 15, 'word': '·', 'start': 18, 'end': 19}, {'entity': 'I-PER', 'score': 0.99999344, 'index': 16, 'word': '戈', 'start': 19, 'end': 20}, {'entity': 'I-PER', 'score': 0.99998605, 'index': 17, 'word': '?', 'start': 20, 'end': 21}, {'entity': 'I-PER', 'score': 0.9999652, 'index': 21, 'word': 'Ti', 'start': 26, 'end': 28}, {'entity': 'I-PER', 'score': 0.9998846, 'index': 22, 'word': 'pper', 'start': 28, 'end': 32}]","[{'word': 'Al Gore', 'tag': 'I-PER', 'score': 0.99998736}, {'word': 'Tipper', 'tag': 'I-PER', 'score': 0.9999716}]","[{'word': '艾?·戈?', 'tag': 'I-PER', 'score': 0.9998752}, {'word': 'Tipper', 'tag': 'I-PER', 'score': 0.9998846}]"
"And the man said, ""He's come down a long way, hasn't he?""",[],那?男的接??，“他已?非常努力了，不是?？“,[],[],[]
There's been kind of a series of epiphanies.,[],已?算是有些??了。,[],[],[]
"The very next day, continuing the totally true story, I got on a G-V to fly to Africa to make a speech in Nigeria, in the city of Lagos, on the topic of energy.","[{'entity': 'I-MISC', 'score': 0.52062356, 'index': 17, 'word': '▁G', 'start': 65, 'end': 66}, {'entity': 'I-MISC', 'score': 0.897637, 'index': 18, 'word': '-', 'start': 66, 'end': 67}, {'entity': 'I-MISC', 'score': 0.85554266, 'index': 19, 'word': 'V', 'start': 67, 'end': 68}, {'entity': 'I-LOC', 'score': 0.9999976, 'index': 23, 'word': '▁Africa', 'start': 79, 'end': 85}, {'entity': 'I-LOC', 'score': 0.999998, 'index': 29, 'word': '▁Nigeria', 'start': 106, 'end': 113}, {'entity': 'I-LOC', 'score': 0.9999968, 'index': 35, 'word': '▁Lago', 'start': 130, 'end': 134}, {'entity': 'I-LOC', 'score': 0.9999945, 'index': 36, 'word': 's', 'start': 134, 'end': 135}]",第二天，??一?完全真?的故事。 我登上G-5就?到非洲的尼?利?做演?去了， 在首都拉各斯，主??是?于能源。,"[{'entity': 'I-MISC', 'score': 0.9832392, 'index': 12, 'word': 'G', 'start': 20, 'end': 21}, {'entity': 'I-MISC', 'score': 0.9990528, 'index': 13, 'word': '-5', 'start': 21, 'end': 23}, {'entity': 'I-LOC', 'score': 0.9999665, 'index': 17, 'word': '非洲', 'start': 26, 'end': 28}, {'entity': 'I-LOC', 'score': 0.9999918, 'index': 19, 'word': '尼', 'start': 29, 'end': 30}, {'entity': 'I-LOC', 'score': 0.9999708, 'index': 20, 'word': '?', 'start': 30, 'end': 31}, {'entity': 'I-LOC', 'score': 0.99998724, 'index': 21, 'word': '利?', 'start': 31, 'end': 33}, {'entity': 'I-LOC', 'score': 0.9999777, 'index': 28, 'word': '拉', 'start': 43, 'end': 44}, {'entity': 'I-LOC', 'score': 0.99994826, 'index': 29, 'word': '各', 'start': 44, 'end': 45}, {'entity': 'I-LOC', 'score': 0.9999858, 'index': 30, 'word': '斯', 'start': 45, 'end': 46}]","[{'word': 'G-V', 'tag': 'I-MISC', 'score': 0.52062356}, {'word': 'Africa', 'tag': 'I-LOC', 'score': 0.9999976}, {'word': 'Nigeria', 'tag': 'I-LOC', 'score': 0.999998}, {'word': 'Lagos', 'tag': 'I-LOC', 'score': 0.9999945}]","[{'word': 'G-5', 'tag': 'I-MISC', 'score': 0.9832392}, {'word': '非洲', 'tag': 'I-LOC', 'score': 0.9999665}, {'word': '尼?利?', 'tag': 'I-LOC', 'score': 0.9999708}, {'word': '拉各斯', 'tag': 'I-LOC', 'score': 0.99994826}]"
And I began the speech by telling them the story of what had just happened the day before in Nashville.,"[{'entity': 'I-LOC', 'score': 0.99999714, 'index': 20, 'word': '▁Na', 'start': 93, 'end': 95}, {'entity': 'I-LOC', 'score': 0.9999963, 'index': 21, 'word': 'sh', 'start': 95, 'end': 97}, {'entity': 'I-LOC', 'score': 0.9999963, 'index': 22, 'word': 'ville', 'start': 97, 'end': 102}]",而演??始我?把前一天?生在?什??州 的故事?了一遍。,"[{'entity': 'I-LOC', 'score': 0.99999166, 'index': 10, 'word': '?', 'start': 14, 'end': 15}, {'entity': 'I-LOC', 'score': 0.99998045, 'index': 11, 'word': '什', 'start': 15, 'end': 16}, {'entity': 'I-LOC', 'score': 0.9999814, 'index': 12, 'word': '?', 'start': 16, 'end': 17}, {'entity': 'I-LOC', 'score': 0.9999932, 'index': 13, 'word': '?', 'start': 17, 'end': 18}, {'entity': 'I-LOC', 'score': 0.99988425, 'index': 14, 'word': '州', 'start': 18, 'end': 19}, {'entity': 'I-LOC', 'score': 0.9924663, 'index': 20, 'word': '。', 'start': 27, 'end': 28}]","[{'word': 'Nashville', 'tag': 'I-LOC', 'score': 0.9999963}]","[{'word': '?什??州', 'tag': 'I-LOC', 'score': 0.99988425}, {'word': '。', 'tag': 'I-LOC', 'score': 0.9924663}]"
"And I told it pretty much the same way I've just shared it with you: Tipper and I were driving ourselves, Shoney's, low-cost family restaurant chain, what the man said -- they laughed.","[{'entity': 'I-PER', 'score': 0.99998724, 'index': 19, 'word': '▁Tipp', 'start': 69, 'end': 73}, {'entity': 'I-PER', 'score': 0.9999627, 'index': 20, 'word': 'er', 'start': 73, 'end': 75}, {'entity': 'I-ORG', 'score': 0.99771523, 'index': 27, 'word': '▁Sho', 'start': 106, 'end': 109}, {'entity': 'I-ORG', 'score': 0.9956831, 'index': 28, 'word': 'ney', 'start': 109, 'end': 112}, {'entity': 'I-ORG', 'score': 0.99630535, 'index': 29, 'word': ""'"", 'start': 112, 'end': 113}, {'entity': 'I-ORG', 'score': 0.8321128, 'index': 30, 'word': 's', 'start': 113, 'end': 114}]",就如同??我?你??的故事一模一?。 我妻子和我自己??，Shoney's餐?，低成本家庭??餐? ?店那?男人的?--然后??笑了,"[{'entity': 'I-ORG', 'score': 0.6463809, 'index': 20, 'word': 'Sho', 'start': 29, 'end': 32}, {'entity': 'I-ORG', 'score': 0.90338933, 'index': 21, 'word': 'ney', 'start': 32, 'end': 35}, {'entity': 'I-ORG', 'score': 0.8774743, 'index': 22, 'word': ""'"", 'start': 35, 'end': 36}]","[{'word': 'Tipper', 'tag': 'I-PER', 'score': 0.9999627}, {'word': ""Shoney's"", 'tag': 'I-ORG', 'score': 0.8321128}]","[{'word': ""Shoney'"", 'tag': 'I-ORG', 'score': 0.6463809}]"
"I gave my speech, then went back out to the airport to fly back home.",[],演?完后就?到?机??回老家了,[],[],[]
"I fell asleep on the plane until, during the middle of the night, we landed on the Azores Islands for refueling.","[{'entity': 'I-LOC', 'score': 0.99996865, 'index': 22, 'word': '▁Az', 'start': 83, 'end': 85}, {'entity': 'I-LOC', 'score': 0.99994457, 'index': 23, 'word': 'ores', 'start': 85, 'end': 89}, {'entity': 'I-LOC', 'score': 0.9999305, 'index': 24, 'word': '▁Island', 'start': 90, 'end': 96}, {'entity': 'I-LOC', 'score': 0.9999708, 'index': 25, 'word': 's', 'start': 96, 'end': 97}]",接?我就在?机上睡?了，直到三更半夜才醒?， ?机在?速?群?降落加油。,"[{'entity': 'I-LOC', 'score': 0.99999416, 'index': 22, 'word': '?', 'start': 26, 'end': 27}, {'entity': 'I-LOC', 'score': 0.9999745, 'index': 23, 'word': '速', 'start': 27, 'end': 28}, {'entity': 'I-LOC', 'score': 0.999992, 'index': 24, 'word': '?', 'start': 28, 'end': 29}, {'entity': 'I-LOC', 'score': 0.99999166, 'index': 25, 'word': '群', 'start': 29, 'end': 30}, {'entity': 'I-LOC', 'score': 0.99999297, 'index': 26, 'word': '?', 'start': 30, 'end': 31}]","[{'word': 'Azores Islands', 'tag': 'I-LOC', 'score': 0.9999305}]","[{'word': '?速?群?', 'tag': 'I-LOC', 'score': 0.9999745}]"
"I woke up, they opened the door, I went out to get some fresh air, and I looked, and there was a man running across the runway.",[],我醒了??，走出?机去呼吸?新?空气， 然后我看到有?人跑??机跑道,[],[],[]
"And he was waving a piece of paper, and he was yelling, ""Call Washington! Call Washington!""","[{'entity': 'I-LOC', 'score': 0.9999958, 'index': 20, 'word': '▁Washington', 'start': 62, 'end': 72}, {'entity': 'I-LOC', 'score': 0.9999958, 'index': 23, 'word': '▁Washington', 'start': 79, 'end': 89}]",他一??舞?一??，一?大喊， ”打????盛?！打????盛?！“,"[{'entity': 'I-LOC', 'score': 0.99999666, 'index': 16, 'word': '?盛?', 'start': 21, 'end': 24}, {'entity': 'I-LOC', 'score': 0.9999957, 'index': 20, 'word': '?盛?', 'start': 29, 'end': 32}]","[{'word': 'Washington', 'tag': 'I-LOC', 'score': 0.9999958}, {'word': 'Washington', 'tag': 'I-LOC', 'score': 0.9999958}]","[{'word': '?盛?', 'tag': 'I-LOC', 'score': 0.99999666}, {'word': '?盛?', 'tag': 'I-LOC', 'score': 0.9999957}]"
