English Sentence,English NER Tagged,Chinese Sentence,Chinese NER Tagged
"Thank you so much, Chris. And it's truly a great honor to have the opportunity to come to this stage twice; I'm extremely grateful.","[('Thank', 'O'), ('you', 'O'), ('so', 'O'), ('much', 'O'), (',', 'O'), ('Chris', 'PERSON'), ('.', 'O'), ('And', 'O'), ('it', 'O'), (""'s"", 'O'), ('truly', 'O'), ('a', 'O'), ('great', 'O'), ('honor', 'O'), ('to', 'O'), ('have', 'O'), ('the', 'O'), ('opportunity', 'O'), ('to', 'O'), ('come', 'O'), ('to', 'O'), ('this', 'O'), ('stage', 'O'), ('twice', 'O'), (';', 'O'), ('I', 'O'), (""'m"", 'O'), ('extremely', 'O'), ('grateful', 'O'), ('.', 'O')]",«D±`??¡A§J¨½´µ¡CªºÚÌ«D±`?©¯ ¯à¦³²Ä¤G¦¸¯¸¦b??¥x¤WªºÉó?¡A§Ú¯u¬O«D±`·P¿E¡C,"[('«', 'O'), ('D', 'O'), ('±', 'O'), ('`', 'O'), ('?', 'O'), ('?', 'O'), ('¡', 'O'), ('A', 'O'), ('§', 'O'), ('J', 'O'), ('¨', 'O'), ('½', 'O'), ('´', 'O'), ('µ', 'O'), ('¡', 'O'), ('C', 'O'), ('ª', 'O'), ('º', 'O'), ('Ú', 'O'), ('Ì', 'O'), ('«', 'O'), ('D', 'O'), ('±', 'O'), ('`', 'O'), ('?', 'O'), ('©', 'O'), ('¯', 'O'), ('¯', 'O'), ('à', 'O'), ('¦', 'O'), ('³', 'O'), ('²', 'O'), ('Ä', 'O'), ('¤', 'O'), ('G', 'O'), ('¦', 'O'), ('¸', 'O'), ('¯', 'O'), ('¸', 'O'), ('¦', 'O'), ('b', 'O'), ('?', 'O'), ('?', 'O'), ('¥', 'O'), ('x', 'O'), ('¤', 'O'), ('W', 'O'), ('ª', 'O'), ('º', 'O'), ('É', 'O'), ('ó', 'O'), ('?', 'O'), ('¡', 'O'), ('A', 'O'), ('§', 'O'), ('Ú', 'O'), ('¯', 'O'), ('u', 'O'), ('¬', 'O'), ('O', 'O'), ('«', 'O'), ('D', 'O'), ('±', 'O'), ('`', 'O'), ('·', 'O'), ('P', 'O'), ('¿', 'O'), ('E', 'O'), ('¡', 'O'), ('C', 'O')]"
"I have been blown away by this conference, and I want to thank all of you for the many nice comments about what I had to say the other night.","[('I', 'O'), ('have', 'O'), ('been', 'O'), ('blown', 'O'), ('away', 'O'), ('by', 'O'), ('this', 'O'), ('conference', 'O'), (',', 'O'), ('and', 'O'), ('I', 'O'), ('want', 'O'), ('to', 'O'), ('thank', 'O'), ('all', 'O'), ('of', 'O'), ('you', 'O'), ('for', 'O'), ('the', 'O'), ('many', 'O'), ('nice', 'O'), ('comments', 'O'), ('about', 'O'), ('what', 'O'), ('I', 'O'), ('had', 'O'), ('to', 'O'), ('say', 'O'), ('the', 'O'), ('other', 'O'), ('night', 'O'), ('.', 'O')]",????¯u¬O?§Ú·P¨ìÕa?¤£¤w¡A§Ú?­n??§A?¯d¤Uªº ?¤_§Ú¤W¦¸ºt?ªººë±m??,"[('?', 'O'), ('?', 'O'), ('?', 'O'), ('?', 'O'), ('¯', 'O'), ('u', 'O'), ('¬', 'O'), ('O', 'O'), ('?', 'O'), ('§', 'O'), ('Ú', 'O'), ('·', 'O'), ('P', 'O'), ('¨', 'O'), ('ì', 'O'), ('Õ', 'O'), ('a', 'O'), ('?', 'O'), ('¤', 'O'), ('£', 'O'), ('¤', 'O'), ('w', 'O'), ('¡', 'O'), ('A', 'O'), ('§', 'O'), ('Ú', 'O'), ('?', 'O'), ('\xad', 'O'), ('n', 'O'), ('?', 'O'), ('?', 'O'), ('§', 'O'), ('A', 'O'), ('?', 'O'), ('¯', 'O'), ('d', 'O'), ('¤', 'O'), ('U', 'O'), ('ª', 'O'), ('º', 'O'), ('?', 'O'), ('¤', 'O'), ('_', 'O'), ('§', 'O'), ('Ú', 'O'), ('¤', 'O'), ('W', 'O'), ('¦', 'O'), ('¸', 'O'), ('º', 'O'), ('t', 'O'), ('?', 'O'), ('ª', 'O'), ('º', 'O'), ('º', 'O'), ('ë', 'O'), ('±', 'O'), ('m', 'O'), ('?', 'O'), ('?', 'O')]"
"And I say that sincerely, partly because  I need that.  Put yourselves in my position.","[('And', 'O'), ('I', 'O'), ('say', 'O'), ('that', 'O'), ('sincerely', 'O'), (',', 'O'), ('partly', 'O'), ('because', 'O'), ('I', 'O'), ('need', 'O'), ('that', 'O'), ('.', 'O'), ('Put', 'O'), ('yourselves', 'O'), ('in', 'O'), ('my', 'O'), ('position', 'O'), ('.', 'O')]",§Ú¬O«D±`¯u?ªº¡A³¡¤À­ì¦]¬O¦]?----§ÚªºÚÌ«D±`»Ý­n¡I §A?¨­?¦a?§Ú·Q·Q¡I,"[('§', 'O'), ('Ú', 'O'), ('¬', 'O'), ('O', 'O'), ('«', 'O'), ('D', 'O'), ('±', 'O'), ('`', 'O'), ('¯', 'O'), ('u', 'O'), ('?', 'O'), ('ª', 'O'), ('º', 'O'), ('¡', 'O'), ('A', 'O'), ('³', 'O'), ('¡', 'O'), ('¤', 'O'), ('À', 'O'), ('\xad', 'O'), ('ì', 'O'), ('¦', 'O'), (']', 'O'), ('¬', 'O'), ('O', 'O'), ('¦', 'O'), (']', 'O'), ('?', 'O'), ('-', 'O'), ('-', 'O'), ('-', 'O'), ('-', 'O'), ('§', 'O'), ('Ú', 'O'), ('ª', 'O'), ('º', 'O'), ('Ú', 'O'), ('Ì', 'O'), ('«', 'O'), ('D', 'O'), ('±', 'O'), ('`', 'O'), ('»', 'O'), ('Ý', 'O'), ('\xad', 'O'), ('n', 'O'), ('¡', 'O'), ('I', 'O'), ('§', 'O'), ('A', 'O'), ('?', 'O'), ('¨', 'O'), ('\xad', 'O'), ('?', 'O'), ('¦', 'O'), ('a', 'O'), ('?', 'O'), ('§', 'O'), ('Ú', 'O'), ('·', 'O'), ('Q', 'O'), ('·', 'O'), ('Q', 'O'), ('¡', 'O'), ('I', 'O')]"
I flew on Air Force Two for eight years.,"[('I', 'O'), ('flew', 'O'), ('on', 'O'), ('Air', 'ORGANIZATION'), ('Force', 'ORGANIZATION'), ('Two', 'O'), ('for', 'O'), ('eight', 'O'), ('years', 'O'), ('.', 'O')]",§Ú§¤¤F8¦~ªºªÅ?¤G?¡C,"[('§', 'O'), ('Ú', 'O'), ('§', 'O'), ('¤', 'O'), ('¤', 'O'), ('F', 'O'), ('8', 'O'), ('¦', 'O'), ('~', 'O'), ('ª', 'O'), ('º', 'O'), ('ª', 'O'), ('Å', 'O'), ('?', 'O'), ('¤', 'O'), ('G', 'O'), ('?', 'O'), ('¡', 'O'), ('C', 'O')]"
Now I have to take off my shoes or boots to get on an airplane!,"[('Now', 'O'), ('I', 'O'), ('have', 'O'), ('to', 'O'), ('take', 'O'), ('off', 'O'), ('my', 'O'), ('shoes', 'O'), ('or', 'O'), ('boots', 'O'), ('to', 'O'), ('get', 'O'), ('on', 'O'), ('an', 'O'), ('airplane', 'O'), ('!', 'O')]",¤£??¦b¤W?Éó«e§Ú?­n?±¼§Úªº¾c¤l,"[('¤', 'O'), ('£', 'O'), ('?', 'O'), ('?', 'O'), ('¦', 'O'), ('b', 'O'), ('¤', 'O'), ('W', 'O'), ('?', 'O'), ('É', 'O'), ('ó', 'O'), ('«', 'O'), ('e', 'O'), ('§', 'O'), ('Ú', 'O'), ('?', 'O'), ('\xad', 'O'), ('n', 'O'), ('?', 'O'), ('±', 'O'), ('¼', 'O'), ('§', 'O'), ('Ú', 'O'), ('ª', 'O'), ('º', 'O'), ('¾', 'O'), ('c', 'O'), ('¤', 'O'), ('l', 'O')]"
I'll tell you one quick story to illustrate what that's been like for me.,"[('I', 'O'), (""'ll"", 'O'), ('tell', 'O'), ('you', 'O'), ('one', 'O'), ('quick', 'O'), ('story', 'O'), ('to', 'O'), ('illustrate', 'O'), ('what', 'O'), ('that', 'O'), (""'s"", 'O'), ('been', 'O'), ('like', 'O'), ('for', 'O'), ('me', 'O'), ('.', 'O')]",§Ú?§A??¤p¬G¨Æ?§Î®e§Ú?¦b¬O¤°¤\?ªº,"[('§', 'O'), ('Ú', 'O'), ('?', 'O'), ('§', 'O'), ('A', 'O'), ('?', 'O'), ('?', 'O'), ('¤', 'O'), ('p', 'O'), ('¬', 'O'), ('G', 'O'), ('¨', 'O'), ('Æ', 'O'), ('?', 'O'), ('§', 'O'), ('Î', 'O'), ('®', 'O'), ('e', 'O'), ('§', 'O'), ('Ú', 'O'), ('?', 'O'), ('¦', 'O'), ('b', 'O'), ('¬', 'O'), ('O', 'O'), ('¤', 'O'), ('°', 'O'), ('¤', 'O'), ('\\', 'O'), ('?', 'O'), ('ª', 'O'), ('º', 'O')]"
It's a true story -- every bit of this is true.,"[('It', 'O'), (""'s"", 'O'), ('a', 'O'), ('true', 'O'), ('story', 'O'), ('--', 'O'), ('every', 'O'), ('bit', 'O'), ('of', 'O'), ('this', 'O'), ('is', 'O'), ('true', 'O'), ('.', 'O')]",?¬O?¯u?ªº¬G¨Æ--¨C¤@?³£¬O¦p¦¹¡C,"[('?', 'O'), ('¬', 'O'), ('O', 'O'), ('?', 'O'), ('¯', 'O'), ('u', 'O'), ('?', 'O'), ('ª', 'O'), ('º', 'O'), ('¬', 'O'), ('G', 'O'), ('¨', 'O'), ('Æ', 'O'), ('-', 'O'), ('-', 'O'), ('¨', 'O'), ('C', 'O'), ('¤', 'O'), ('@', 'O'), ('?', 'O'), ('³', 'O'), ('£', 'O'), ('¬', 'O'), ('O', 'O'), ('¦', 'O'), ('p', 'O'), ('¦', 'O'), ('¹', 'O'), ('¡', 'O'), ('C', 'O')]"
Soon after Tipper and I left the --  White House --  we were driving from our home in Nashville to a little farm we have 50 miles east of Nashville.,"[('Soon', 'O'), ('after', 'O'), ('Tipper', 'PERSON'), ('and', 'O'), ('I', 'O'), ('left', 'O'), ('the', 'O'), ('--', 'O'), ('White', 'LOCATION'), ('House', 'LOCATION'), ('--', 'O'), ('we', 'O'), ('were', 'O'), ('driving', 'O'), ('from', 'O'), ('our', 'O'), ('home', 'O'), ('in', 'O'), ('Nashville', 'LOCATION'), ('to', 'O'), ('a', 'O'), ('little', 'O'), ('farm', 'O'), ('we', 'O'), ('have', 'O'), ('50', 'O'), ('miles', 'O'), ('east', 'O'), ('of', 'O'), ('Nashville', 'LOCATION'), ('.', 'O')]",´N¦b§Ú©MTipperÖÃ?¥Õ?µy¦Z¤£¤[ -- -- §Ú?????¤°??ªº®a?¨ì §Ú?¦b??50¨½¥~ªº¤@?¤p??--,"[('´', 'O'), ('N', 'O'), ('¦', 'O'), ('b', 'O'), ('§', 'O'), ('Ú', 'O'), ('©', 'O'), ('M', 'O'), ('T', 'O'), ('i', 'O'), ('p', 'O'), ('p', 'O'), ('e', 'O'), ('r', 'O'), ('Ö', 'O'), ('Ã', 'O'), ('?', 'O'), ('¥', 'O'), ('Õ', 'O'), ('?', 'O'), ('µ', 'O'), ('y', 'O'), ('¦', 'O'), ('Z', 'O'), ('¤', 'O'), ('£', 'O'), ('¤', 'O'), ('[', 'O'), ('-', 'O'), ('-', 'O'), ('-', 'O'), ('-', 'O'), ('§', 'O'), ('Ú', 'O'), ('?', 'O'), ('?', 'O'), ('?', 'O'), ('?', 'O'), ('?', 'O'), ('¤', 'O'), ('°', 'O'), ('?', 'O'), ('?', 'O'), ('ª', 'O'), ('º', 'O'), ('®', 'O'), ('a', 'O'), ('?', 'O'), ('¨', 'O'), ('ì', 'O'), ('§', 'O'), ('Ú', 'O'), ('?', 'O'), ('¦', 'O'), ('b', 'O'), ('?', 'O'), ('?', 'O'), ('5', 'O'), ('0', 'O'), ('¨', 'O'), ('½', 'O'), ('¥', 'O'), ('~', 'O'), ('ª', 'O'), ('º', 'O'), ('¤', 'O'), ('@', 'O'), ('?', 'O'), ('¤', 'O'), ('p', 'O'), ('?', 'O'), ('?', 'O'), ('-', 'O'), ('-', 'O')]"
Driving ourselves.,"[('Driving', 'O'), ('ourselves', 'O'), ('.', 'O')]",¦Û¤v??,"[('¦', 'O'), ('Û', 'O'), ('¤', 'O'), ('v', 'O'), ('?', 'O'), ('?', 'O')]"
"I know it sounds like a little thing to you, but -- I looked in the rear-view mirror and all of a sudden it just hit me.","[('I', 'O'), ('know', 'O'), ('it', 'O'), ('sounds', 'O'), ('like', 'O'), ('a', 'O'), ('little', 'O'), ('thing', 'O'), ('to', 'O'), ('you', 'O'), (',', 'O'), ('but', 'O'), ('--', 'O'), ('I', 'O'), ('looked', 'O'), ('in', 'O'), ('the', 'O'), ('rear-view', 'O'), ('mirror', 'O'), ('and', 'O'), ('all', 'O'), ('of', 'O'), ('a', 'O'), ('sudden', 'O'), ('it', 'O'), ('just', 'O'), ('hit', 'O'), ('me', 'O'), ('.', 'O')]",§Úª¾¹D??§A???¬O¤p¨Æ¤@?¡A¦ý¬O ---- ¥¿?§Ú¬Ý?¦Z??ªº?­Ô¡A¬ðµM·P¨ì«D±`Õa©_¡C,"[('§', 'O'), ('Ú', 'O'), ('ª', 'O'), ('¾', 'O'), ('¹', 'O'), ('D', 'O'), ('?', 'O'), ('?', 'O'), ('§', 'O'), ('A', 'O'), ('?', 'O'), ('?', 'O'), ('?', 'O'), ('¬', 'O'), ('O', 'O'), ('¤', 'O'), ('p', 'O'), ('¨', 'O'), ('Æ', 'O'), ('¤', 'O'), ('@', 'O'), ('?', 'O'), ('¡', 'O'), ('A', 'O'), ('¦', 'O'), ('ý', 'O'), ('¬', 'O'), ('O', 'O'), ('-', 'O'), ('-', 'O'), ('-', 'O'), ('-', 'O'), ('¥', 'O'), ('¿', 'O'), ('?', 'O'), ('§', 'O'), ('Ú', 'O'), ('¬', 'O'), ('Ý', 'O'), ('?', 'O'), ('¦', 'O'), ('Z', 'O'), ('?', 'O'), ('?', 'O'), ('ª', 'O'), ('º', 'O'), ('?', 'O'), ('\xad', 'O'), ('Ô', 'O'), ('¡', 'O'), ('A', 'O'), ('¬', 'O'), ('ð', 'O'), ('µ', 'O'), ('M', 'O'), ('·', 'O'), ('P', 'O'), ('¨', 'O'), ('ì', 'O'), ('«', 'O'), ('D', 'O'), ('±', 'O'), ('`', 'O'), ('Õ', 'O'), ('a', 'O'), ('©', 'O'), ('_', 'O'), ('¡', 'O'), ('C', 'O')]"
